"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","age"
"1",-0.0220956461988272,0.00483687300464674,0.00484017471997766,4.56505136222215,4.994e-06,1
"2",-0.0136579573816715,0.00523139174372897,0.00523593897012428,2.60850202028756,0.00909395,2
"3",-0.0175412492020988,0.00526377506205456,0.00526880540905385,3.32926495481426,0.00087076,3
"4",-0.0184256277098679,0.00515895586493766,0.00516567012544478,3.56693851183178,0.0003612,4
"5",-0.0147479639205453,0.00475242983310252,0.00476021476255119,3.09817196412401,0.0019472,5
"6",-0.0215468598932431,0.00429382911643609,0.00430229195554804,5.00822819926418,5e-07,6
"7",-0.0183456580668655,0.00422777975593226,0.0042389352966074,4.32789292196753,1.51e-05,7
"8",-0.0185118164778674,0.00405030665151414,0.004063815263981,4.55528002021747,5.2e-06,8
"9",-0.0167370776755393,0.00438472895822208,0.00440237018339177,3.80183332575735,0.0001436,9
"10",-0.0169388681405066,0.00560533622856807,0.00563623410356125,3.00535212506589,0.00265274,10
"11",-0.0156596685706912,0.00566922741783821,0.00570260498902571,2.74605528540504,0.00603166,11
"12",-0.0120923862557939,0.00889393447333459,0.00897596203214398,1.34719668070003,0.1779169,12
"13",-0.0164281923875459,0.00537331615185168,0.00543445168565356,3.02297146755666,0.00250306,13
"14",-0.0155567059665142,0.00556421539859504,0.0056674969569576,2.74489886534766,0.006053,14
"15",-0.0089054420222167,0.00469565765674426,0.00477447583304515,1.86521878707193,0.06215074,15
