"","BirdID","w1","half_w"
"1",21,2.4325384484595,1.21626922422975
"2",25,2.06950766010915,1.03475383005458
"3",29,4.865076896919,2.4325384484595
"4",42,2.4325384484595,1.21626922422975
"5",44,4.54612400247652,2.27306200123826
"6",51,13.3848826374022,6.69244131870111
"7",64,5.14528088751623,2.57264044375812
"8",65,4.75644758554577,2.37822379277288
"9",71,1.6239700873003,0.811985043650152
"10",75,8.54141082003924,4.27070541001962
"11",82,3.24794017460061,1.6239700873003
"12",163,6.65468142534988,3.32734071267494
"13",168,9.65478206002234,4.82739103001117
"14",169,4.19319384856746,2.09659692428373
"15",171,5.03071133804957,2.51535566902479
"16",172,1.6239700873003,0.811985043650152
"17",176,16.5953095425398,8.29765477126989
"18",178,8.27865151265018,4.13932575632509
"19",189,1.4978960927189,0.748948046359451
"20",199,16.5273289187913,8.26366445939565
"21",200,7.69782585209997,3.84891292604999
"22",207,2.76321925154727,1.38160962577364
"23",208,4.94901337860169,2.47450668930085
"24",213,4.74583626731951,2.37291813365975
"25",215,10.4152393712895,5.20761968564477
"26",216,22.5891160454072,11.2945580227036
"27",217,3.66950055813833,1.83475027906917
"28",220,1.90884515803037,0.954422579015184
"29",221,7.23690431096639,3.61845215548319
"30",293,5.29347064543864,2.64673532271932
"31",297,16.3123658183065,8.15618290915323
"32",298,3.1218661800192,1.5609330900096
"33",308,14.8146033130678,7.40730165653392
"34",331,4.90463734346817,2.45231867173409
"35",428,3.95036967650611,1.97518483825306
"36",430,2.06950766010915,1.03475383005458
"37",436,2.77224694209293,1.38612347104646
"38",440,1.1754189150144,0.587709457507201
"39",441,5.67056787876726,2.83528393938363
"40",442,1.76065540010796,0.880327700053982
"41",443,2.44976976438843,1.22488488219421
"42",444,6.62955206253183,3.31477603126591
"43",446,1.1754189150144,0.587709457507201
"44",447,2.25958629831571,1.12979314915786
"45",448,3.25250214990392,1.62625107495196
"46",450,5.69929356666964,2.84964678333482
"47",451,1.1754189150144,0.587709457507201
"48",453,28.8240699107734,14.4120349553867
"49",454,9.48313205074753,4.74156602537377
"50",455,2.9957921854378,1.4978960927189
"51",457,2.89832093667433,1.44916046833717
"52",458,9.31639227164255,4.65819613582128
"53",459,13.0437801316644,6.52189006583218
"54",462,1.08416738330131,0.542083691650654
"55",464,3.25958629831571,1.62979314915786
"56",465,3.43500521333011,1.71750260666506
"57",466,3.98248831997564,1.99124415998782
"58",467,13.7157533306384,6.85787666531921
"59",468,1.1754189150144,0.587709457507201
"60",469,5.45534947746237,2.72767473873119
"61",470,2.87950571849254,1.43975285924627
"62",474,1.4978960927189,0.748948046359451
"63",477,1.4978960927189,0.748948046359451
"64",478,4.51917259663142,2.25958629831571
"65",494,20.8522410119381,10.426120505969
"66",495,5.01920689293483,2.50960344646742
"67",497,17.9685524008251,8.98427620041253
"68",498,1.08416738330131,0.542083691650654
"69",499,5.31744783470976,2.65872391735488
"70",500,5.35431041811314,2.67715520905657
"71",501,6.87667375481385,3.43833687740693
"72",502,3.94766585710733,1.97383292855367
"73",503,4.41661587525563,2.20830793762781
"74",504,1.4978960927189,0.748948046359451
"75",507,8.6013441182263,4.30067205911315
"76",508,2.35851823267533,1.17925911633767
"77",509,2.06950766010915,1.03475383005458
