"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","prate","Observer","SexEstimate","new_bug","BroodSize","nr_helpers","WatchType"
"59",75,1987,1987,0,3254,7,"Sub",NA,NA,"1",5.08906934631664,NA,NA,NA
"60",75,1987,1988,1,3254,8,"Dom",NA,NA,"1",NA,NA,NA,NA
"61",75,1987,1989,2,3254,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"62",75,1987,1990,3,3254,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"63",75,1987,1991,4,3254,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"64",75,1987,1992,5,3254,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"65",75,1987,1993,6,3254,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"66",75,1987,1994,7,3254,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"67",75,1987,1995,8,3254,19,"Dom",0.144444444444444,NA,"1",NA,1,2,"FL"
"68",75,1987,1996,9,3254,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"69",168,1989,1989,0,4394,10,"Sub",NA,NA,"0",NA,NA,NA,NA
"70",168,1989,1990,1,4394,12,"Sub",NA,NA,"0",2.65244281811658,NA,NA,NA
"71",168,1989,1991,2,4394,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"72",168,1989,1992,3,4394,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"73",168,1989,1993,4,4394,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"74",168,1989,1994,5,4394,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"75",168,1989,1995,6,4394,19,"Dom",0.2,NA,"0",NA,1,1,"F"
"76",168,1989,1995,6,4394,19,"Dom",0.3,NA,"0",NA,1,1,"F"
"77",168,1989,1996,7,4394,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"78",168,1989,1997,8,4394,22,"Dom",0.166666666666667,NA,"0",6.34906043033333,1,1,"FL"
"79",168,1989,1998,9,4394,25,"Dom",NA,NA,"0",3.40909704468116,NA,NA,NA
"80",168,1989,1999,10,4394,28,"Dom",NA,NA,"0",5.15521640609487,NA,NA,NA
"81",168,1989,2000,11,4394,39,"Dom",NA,NA,"0",NA,NA,NA,NA
"82",168,1989,2001,12,4394,40,"Dom",NA,NA,"0",NA,NA,NA,NA
"83",169,1988,1988,0,4030,8,"Sub",NA,NA,"0",NA,NA,NA,NA
"84",169,1988,1989,1,4030,10,"Dom",NA,NA,"0",NA,NA,NA,NA
"85",169,1988,1990,2,4030,12,"Dom",NA,NA,"0",2.65244281811658,NA,NA,NA
"86",169,1988,1991,3,4030,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"87",169,1988,1992,4,4030,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"88",169,1988,1993,5,4030,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"89",169,1988,1994,6,4030,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"90",169,1988,1995,7,4030,19,"Dom",NA,NA,"0",NA,NA,NA,NA
"91",169,1988,1996,8,4030,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"92",169,1988,1997,9,4030,22,"Dom",0.0666666666666667,NA,"0",6.34906043033333,1,0,"FI"
"93",169,1988,1998,10,4030,25,"Dom",0.05,NA,"0",3.40909704426667,1,0,"FI"
"94",169,1988,1998,10,4030,25,"Dom",0.05,NA,"0",3.40909704426667,1,0,"FI"
"95",169,1988,1999,11,4030,28,"Dom",0.1,NA,"0",5.15521640586667,1,0,"F"
"96",172,1989,1989,0,2966,10,"Sub",NA,NA,"0",NA,NA,NA,NA
"97",172,1989,1990,1,2966,12,"Sub",NA,NA,"0",2.65244281811658,NA,NA,NA
"98",172,1989,1991,2,2966,14,"Sub",NA,NA,"0",NA,NA,NA,NA
"99",172,1989,1992,3,2966,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"100",172,1989,1993,4,2966,16,"Sub",NA,NA,"0",NA,NA,NA,NA
"101",172,1989,1994,5,2966,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"102",172,1989,1995,6,2966,19,"Dom",NA,NA,"0",NA,NA,NA,NA
"103",172,1989,1996,7,2966,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"104",172,1989,1997,8,2966,22,"Dom",0.116666666666667,NA,"0",6.34906043033333,1,0,"FI"
"105",176,1988,1988,0,5132,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"106",176,1988,1989,1,5132,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"107",176,1988,1990,2,5132,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"108",176,1988,1991,3,5132,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"109",176,1988,1992,4,5132,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"110",176,1988,1993,5,5132,16,"Sub",NA,NA,"1",NA,NA,NA,NA
"111",176,1988,1994,6,5132,17,"Sub",NA,NA,"1",NA,NA,NA,NA
"112",176,1988,1995,7,5132,19,"Dom",0.05,NA,"1",NA,1,2,"F"
"113",176,1988,1996,8,5132,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"114",176,1988,1997,9,5132,22,"Dom",0.0888888888888889,NA,"1",6.34906043033333,1,1,"FI"
"115",176,1988,1998,10,5132,25,"Dom",NA,NA,"1",3.40909704468116,NA,NA,NA
"116",176,1988,1999,11,5132,28,"Dom",0.0666666666666667,NA,"1",5.15521640586667,1,1,"FI"
"117",176,1988,2000,12,5132,39,"Dom",NA,NA,"1",NA,NA,NA,NA
"118",176,1988,2001,13,5132,40,"Dom",NA,NA,"1",NA,NA,NA,NA
"119",176,1988,2002,14,5132,41,"Dom",NA,NA,"1",NA,NA,NA,NA
"120",178,1988,1988,0,3483,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"121",178,1988,1989,1,3483,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"122",178,1988,1990,2,3483,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"123",178,1988,1991,3,3483,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"124",178,1988,1992,4,3483,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"125",178,1988,1993,5,3483,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"126",178,1988,1994,6,3483,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"127",178,1988,1995,7,3483,19,"Dom",0.1,NA,"1",NA,1,1,"FI"
"128",178,1988,1995,7,3483,19,"Dom",0.133333333333333,NA,"1",NA,1,1,"F"
"129",178,1988,1995,7,3483,19,"Dom",0.144444444444444,NA,"1",NA,1,1,"FL"
"130",178,1988,1995,7,3483,19,"Dom",0.04,NA,"1",NA,1,1,"F"
"131",178,1988,1996,8,3483,21,"Dom",0.0833333333333333,NA,"1",5.50450219233333,1,1,"FI"
"132",178,1988,1996,8,3483,21,"Dom",0.0833333333333333,NA,"1",5.50450219233333,1,1,"F"
"133",178,1988,1997,9,3483,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"134",178,1988,1998,10,3483,25,"Sub",NA,NA,"1",3.40909704468116,NA,NA,NA
